0,0,0
0,0,0
2,7,79
2,7,111
2,7,143
2,7,175
2,7,207
255,255,255
0,0,0
0,0,0
2,23,79
2,23,111
2,23,143
2,23,175
2,23,207
255,255,255
0,0,0
0,0,0
2,39,79
2,39,111
2,39,143
2,39,175
2,39,207
255,255,255
0,0,0
0,0,0
2,55,79
2,55,111
2,55,143
2,55,175
2,55,207
255,255,255
0,0,0
0,0,0
2,71,79
2,71,111
2,71,143
2,71,175
2,71,207
2,71,239
0,0,0
0,0,0
2,87,79
2,87,111
2,87,143
2,87,175
2,87,207
2,87,239
0,0,0
0,0,0
2,103,79
2,103,111
2,103,143
2,103,175
2,103,207
2,103,239
0,0,0
0,0,0
2,119,79
2,119,111
2,119,143
2,119,175
2,119,207
2,119,239
0,0,0
0,0,0
2,135,79
2,135,111
2,135,143
2,135,175
2,135,207
2,135,239
0,0,0
0,0,0
2,151,79
2,151,111
2,151,143
2,151,175
2,151,207
2,151,239
0,0,0
0,0,0
2,167,79
2,167,111
2,167,143
2,167,175
2,167,207
2,167,239
0,0,0
0,0,0
2,183,79
2,183,111
2,183,143
2,183,175
2,183,207
2,183,239
0,0,0
0,0,0
2,199,79
2,199,111
2,199,143
2,199,175
2,199,207
2,199,239
0,0,0
0,0,0
2,215,79
2,215,111
2,215,143
2,215,175
2,215,207
2,215,239
0,0,0
0,0,0
2,231,79
2,231,111
2,231,143
2,231,175
2,231,207
2,231,239
0,0,0
0,0,0
2,247,79
2,247,111
2,247,143
2,247,175
2,247,207
2,247,239
0,0,0
0,0,0
8,7,79
8,7,111
8,7,143
8,7,175
8,7,207
255,255,255
0,0,0
0,0,0
8,23,79
8,23,111
8,23,143
8,23,175
8,23,207
255,255,255
0,0,0
0,0,0
8,39,79
8,39,111
8,39,143
8,39,175
8,39,207
255,255,255
0,0,0
0,0,0
8,55,79
8,55,111
8,55,143
8,55,175
8,55,207
255,255,255
0,0,0
0,0,0
8,71,79
8,71,111
8,71,143
8,71,175
8,71,207
8,71,239
0,0,0
0,0,0
8,87,79
8,87,111
8,87,143
8,87,175
8,87,207
8,87,239
0,0,0
0,0,0
8,103,79
8,103,111
8,103,143
8,103,175
8,103,207
8,103,239
0,0,0
