0,0,0
88,77,77
136,119,119
184,161,161
232,203,203
0,0,0
88,55,55
136,85,85
184,115,115
232,145,145
0,0,0
88,33,33
136,51,51
184,69,69
232,86,86
0,0,0
88,11,11
136,17,17
184,22,22
232,28,28
0,0,0
88,79,77
136,122,119
184,165,161
232,208,203
0,0,0
88,60,55
136,93,85
184,126,115
232,159,145
0,0,0
88,42,33
136,65,51
184,88,69
232,111,86
0,0,0
88,24,11
136,36,17
184,49,22
232,62,28
0,0,0
88,83,77
136,128,119
184,173,161
232,218,203
0,0,0
88,73,55
136,112,85
184,152,115
232,191,145
0,0,0
88,62,33
136,96,51
184,130,69
232,164,86
0,0,0
88,52,11
136,80,17
184,109,22
232,137,28
0,0,0
88,87,77
136,134,119
184,182,161
232,229,203
0,0,0
88,85,55
136,131,85
184,177,115
232,223,145
0,0,0
88,82,33
136,127,51
184,172,69
232,217,86
0,0,0
88,80,11
136,124,17
184,168,22
232,212,28
0,0,0
85,88,77
131,136,119
177,184,161
223,232,203
0,0,0
78,88,55
121,136,85
163,184,115
206,232,145
0,0,0
71,88,33
110,136,51
149,184,69
188,232,86
0,0,0
65,88,11
100,136,17
136,184,22
171,232,28
0,0,0
81,88,77
125,136,119
169,184,161
213,232,203
0,0,0
66,88,55
102,136,85
138,184,115
174,232,145
0,0,0
51,88,33
79,136,51
107,184,69
135,232,86
0,0,0
36,88,11
56,136,17
76,184,22
96,232,28
0,0,0
77,88,77
119,136,120
161,184,162
203,232,204
0,0,0
55,88,56
85,136,87
115,184,117
145,232,148
0,0,0
33,88,35
51,136,54
69,184,72
86,232,91
0,0,0
11,88,13
17,136,21
22,184,28
28,232,35
0,0,0
77,88,81
119,136,126
161,184,170
203,232,215
0,0,0
55,88,68
85,136,105
115,184,142
145,232,180
0,0,0
33,88,55
51,136,85
69,184,115
86,232,145
0,0,0
11,88,42
17,136,64
22,184,87
28,232,110
0,0,0
77,88,85
119,136,132
161,184,179
203,232,225
0,0,0
55,88,80
85,136,124
115,184,168
145,232,212
0,0,0
33,88,75
51,136,116
69,184,157
86,232,198
0,0,0
11,88,70
17,136,108
22,184,146
28,232,184
0,0,0
77,86,88
119,133,136
161,180,184
203,227,232
0,0,0
55,82,88
85,127,136
115,172,184
145,217,232
0,0,0
33,79,88
51,122,136
69,165,184
86,208,232
0,0,0
11,75,88
17,116,136
22,157,184
28,198,232
0,0,0
77,82,88
119,127,136
161,172,184
203,216,232
0,0,0
55,70,88
85,109,136
115,147,184
145,185,232
0,0,0
33,59,88
51,90,136
69,122,184
86,154,232
0,0,0
11,47,88
17,72,136
22,98,184
28,123,232
0,0,0
77,78,88
119,121,136
161,163,184
203,206,232
0,0,0
55,58,88
85,90,136
115,122,184
145,153,232
0,0,0
33,38,88
51,59,136
69,80,184
86,101,232
0,0,0
11,18,88
17,28,136
22,39,184
28,49,232
0,0,0
80,77,88
123,119,136
167,161,184
211,203,232
0,0,0
64,55,88
98,85,136
133,115,184
168,145,232
0,0,0
48,33,88
73,51,136
99,69,184
125,86,232
0,0,0
31,11,88
48,17,136
65,22,184
83,28,232
0,0,0
84,77,88
130,119,136
176,161,184
221,203,232
0,0,0
76,55,88
117,85,136
159,115,184
200,145,232
0,0,0
68,33,88
105,51,136
142,69,184
179,86,232
0,0,0
60,11,88
92,17,136
125,22,184
157,28,232
0,0,0
88,77,88
136,119,135
184,161,183
232,203,231
0,0,0
88,55,87
136,85,134
184,115,182
232,145,229
0,0,0
88,33,86
136,51,133
184,69,180
232,86,227
0,0,0
88,11,85
136,17,132
184,22,179
232,28,225
0,0,0
88,77,84
136,119,129
184,161,175
232,203,220
0,0,0
88,55,75
136,85,116
184,115,156
232,145,197
0,0,0
88,33,66
136,51,102
184,69,138
232,86,174
0,0,0
88,11,57
136,17,88
184,22,119
232,28,150
0,0,0
88,77,80
136,119,123
184,161,166
232,203,210
0,0,0
88,55,63
136,85,97
184,115,131
232,145,165
0,0,0
88,33,46
136,51,71
184,69,95
232,86,120
0,0,0
88,11,29
136,17,44
184,22,60
232,28,76
