(0, 0, 0),(11, 63, 63)
(0, 0, 63),(11, 63, 127)
(0, 0, 127),(11, 63, 191)
(0, 0, 191),(11, 63, 255)
(0, 63, 0),(11, 127, 63)
(0, 63, 63),(11, 127, 127)
(0, 63, 127),(11, 127, 191)
(0, 63, 191),(11, 127, 255)
(0, 127, 0),(11, 191, 63)
(0, 127, 63),(11, 191, 127)
(0, 127, 127),(11, 191, 191)
(0, 127, 191),(11, 191, 255)
(0, 191, 0),(11, 255, 63)
(0, 191, 63),(11, 255, 127)
(0, 191, 127),(11, 255, 191)
(0, 191, 191),(11, 255, 255)
(11, 0, 0),(22, 63, 63)
(11, 0, 63),(22, 63, 127)
(11, 0, 127),(22, 63, 191)
(11, 0, 191),(22, 63, 255)
(11, 63, 0),(22, 127, 63)
(11, 63, 63),(22, 127, 127)
(11, 63, 127),(22, 127, 191)
(11, 63, 191),(22, 127, 255)
(11, 127, 0),(22, 191, 63)
(11, 127, 63),(22, 191, 127)
(11, 127, 127),(22, 191, 191)
(11, 127, 191),(22, 191, 255)
(11, 191, 0),(22, 255, 63)
(11, 191, 63),(22, 255, 127)
(11, 191, 127),(22, 255, 191)
(11, 191, 191),(22, 255, 255)
(22, 0, 0),(33, 63, 63)
(22, 0, 63),(33, 63, 127)
(22, 0, 127),(33, 63, 191)
(22, 0, 191),(33, 63, 255)
(22, 63, 0),(33, 127, 63)
(22, 63, 63),(33, 127, 127)
(22, 63, 127),(33, 127, 191)
(22, 63, 191),(33, 127, 255)
(22, 127, 0),(33, 191, 63)
(22, 127, 63),(33, 191, 127)
(22, 127, 127),(33, 191, 191)
(22, 127, 191),(33, 191, 255)
(22, 191, 0),(33, 255, 63)
(22, 191, 63),(33, 255, 127)
(22, 191, 127),(33, 255, 191)
(22, 191, 191),(33, 255, 255)
(33, 0, 0),(44, 63, 63)
(33, 0, 63),(44, 63, 127)
(33, 0, 127),(44, 63, 191)
(33, 0, 191),(44, 63, 255)
(33, 63, 0),(44, 127, 63)
(33, 63, 63),(44, 127, 127)
(33, 63, 127),(44, 127, 191)
(33, 63, 191),(44, 127, 255)
(33, 127, 0),(44, 191, 63)
(33, 127, 63),(44, 191, 127)
(33, 127, 127),(44, 191, 191)
(33, 127, 191),(44, 191, 255)
(33, 191, 0),(44, 255, 63)
(33, 191, 63),(44, 255, 127)
(33, 191, 127),(44, 255, 191)
(33, 191, 191),(44, 255, 255)
(44, 0, 0),(55, 63, 63)
(44, 0, 63),(55, 63, 127)
(44, 0, 127),(55, 63, 191)
(44, 0, 191),(55, 63, 255)
(44, 63, 0),(55, 127, 63)
(44, 63, 63),(55, 127, 127)
(44, 63, 127),(55, 127, 191)
(44, 63, 191),(55, 127, 255)
(44, 127, 0),(55, 191, 63)
(44, 127, 63),(55, 191, 127)
(44, 127, 127),(55, 191, 191)
(44, 127, 191),(55, 191, 255)
(44, 191, 0),(55, 255, 63)
(44, 191, 63),(55, 255, 127)
(44, 191, 127),(55, 255, 191)
(44, 191, 191),(55, 255, 255)
(55, 0, 0),(67, 63, 63)
(55, 0, 63),(67, 63, 127)
(55, 0, 127),(67, 63, 191)
(55, 0, 191),(67, 63, 255)
(55, 63, 0),(67, 127, 63)
(55, 63, 63),(67, 127, 127)
(55, 63, 127),(67, 127, 191)
(55, 63, 191),(67, 127, 255)
(55, 127, 0),(67, 191, 63)
